,log2FoldChange,pvalue,padj,significant,mean_log2_expression
ITGA2B,0.34366004345926426,0.2030113977917385,0.34049944161142714,False,2.0727272747819097
ASB4,0.7938463058810277,0.0011518411953634405,0.00859254857823442,False,0.9073285131700373
GDE1,-0.24215316802949705,0.22703055126392896,0.36866061444413745,False,3.6437024727788137
C19orf60,-0.21773665798058506,0.13460058606795652,0.2535799914755635,False,5.605004416610167
CRLF1,-0.17723219924838185,0.5711877384481001,0.7088988507705655,False,3.4386050508624995
OSBPL7,-0.19829663630427374,0.4172521152804103,0.5692107602338542,False,3.281891757002759
TMEM98,0.15646080370311033,0.45911464176422645,0.6101637808296264,False,5.273423345709887
YBX2,-0.1051131920878956,0.7316816666763735,0.8398377931430937,False,2.468489280293597
KRT33A,0.19314633704670445,0.02800139701179896,0.08340683888493183,False,0.15261209852294647
ABCC8,1.4588623158171927,4.0311260161739395e-05,0.0007053157643338365,True,1.7144690682580646
CCL18,-0.729148462260762,0.028859437618861755,0.08525769744244331,False,1.9593618138345235
CCL3,-0.6887487832158485,0.008081471428239851,0.035747754104466685,False,2.8397374864051748
SYNRG,-0.13988338704619796,0.4433863919694305,0.5944152528701881,False,4.165992714964431
CACNG3,0.39488782382973836,0.02712539964028891,0.08188174163072748,False,0.19979022284458245
TMEM132A,-2.2540330819789913,9.426172470939202e-12,3.3481103130988612e-09,True,5.687282693089373
AP2B1,0.11001281779373695,0.6001278546437054,0.7341060084053205,False,4.668395112804087
TAC1,1.7234608912294103,1.3541427340522211e-08,1.132891479075259e-06,True,1.1254048273490076
ZNF263,-0.1178058992229376,0.47519844441811876,0.6255033941674294,False,4.389803493232079
CX3CL1,0.20055055242206699,0.5856474912057816,0.7214931913686415,False,4.660239167191362
SPATA20,-0.06525640054030202,0.8032797362657678,0.8940737515358292,False,5.005670527173456
CACNA1G,1.9981288073437362,1.4810178188030874e-12,6.973182967322629e-10,True,1.6715577231141172
TNFRSF12A,-1.7125664875354634,4.022972967548674e-05,0.0007045770821884987,True,5.1299301730385265
DLX6,-0.19593940493780682,0.5229113674733158,0.6677590627617481,False,0.8122560484266194
MAP3K9,-0.21829628087138309,0.2265263402561389,0.3681401412380563,False,2.8904578371383085
RALA,-0.07792271730712086,0.6531831656853575,0.777994256528165,False,3.7232944581281617
BAIAP2L1,-0.7845293669962765,1.9758882967728616e-05,0.0004065430330941398,False,3.949633133005726
KDM7A,0.01039504994318552,0.9701678309322459,1.0,False,3.383974979198389
ETV1,0.5213970535664143,0.05469745263947084,0.13270277125688754,False,2.447349948717513
AGK,-0.1673546588934074,0.4805611689217325,0.6306353011400957,False,3.5944482642754148
ALDH3B1,-0.4354544223781258,0.012314673026485284,0.04817833238535672,False,3.1453843984409144
TTC22,-0.17896940135066286,0.4212830676060797,0.5727356755796694,False,3.095708062808547
PHTF2,-0.02616307425280695,0.867028745869261,0.9405199308223885,False,3.0238449526404354
CCL26,0.0183444322583296,0.9329841612438923,0.986638669550475,False,0.5770756556880811
FARP2,0.3947688640779967,0.017963472675152845,0.061925501069495056,False,5.118765397613315
USH1C,0.5151208386874657,0.03348127757160608,0.09429550065678324,False,0.5734238319448263
GGCT,-0.2868293420821315,0.3494938993748228,0.5015885826675466,False,3.9061289616688044
DBF4,-0.510436305795765,0.039741491863432475,0.10664098664904624,False,2.692007300279515
