,log2FoldChange,pvalue,padj,significant,mean_log2_expression
GALT,2.5789264498411413,4.726739881254657e-08,3.117184874132957e-06,True,7.977170402928293
KIAA0391,2.0828384089514156,4.800261723583666e-08,3.155392819989445e-06,True,6.686935005813401
RUNX1T1,1.6919050675937943,4.943578337415698e-08,3.239083722308033e-06,True,3.9850178887634544
FBXO41,-1.2634389424729942,4.9767889052393845e-08,3.250324779854083e-06,True,2.758626545049535
EGFLAM,1.4939341028180493,5.058064593168917e-08,3.292783786279675e-06,True,2.55164855132918
SLC52A2,-1.7305411247461109,5.17883384036457e-08,3.3605983952570858e-06,True,4.659046173339761
NCAPH,-1.456781703597156,5.3218299938502195e-08,3.4423568707824775e-06,True,1.8122819588921686
RTL1,1.291405309777094,5.345789844297737e-08,3.4468427129825473e-06,True,1.6248553215190547
GNAO1,1.7311846963678585,5.40310446001271e-08,3.461748509411941e-06,True,2.3058137279670854
CCDC167,-1.5657648189843216,5.389017204575245e-08,3.461748509411941e-06,True,2.647923047387873
LRRC45,-1.4919713741971545,5.4657390581781896e-08,3.4798538670401138e-06,True,3.7652661345314753
ZNF8,1.9324814545826712,5.462740979549709e-08,3.4798538670401138e-06,True,5.560665082052008
NAA60,1.978860235990335,5.4911151240319585e-08,3.485050683421662e-06,True,8.661175817887933
TIMP4,1.6424837781166286,5.536355184135249e-08,3.5027827205625702e-06,True,1.5809917585701738
THRB,1.4199745637252805,5.677914262661056e-08,3.581154272954385e-06,True,2.9748142393453545
KIAA1377,1.0148609999718472,5.7406214414941615e-08,3.6094603013817016e-06,True,1.6589844792895116
BOP1,-1.9773236236209302,5.779544052566732e-08,3.6226826281196923e-06,True,5.104822223162748
PPP1R14B,-1.5389083069277838,5.8768816979039944e-08,3.672325520239638e-06,True,5.326454884609215
CHTF8,1.9592596410549499,5.944377900449647e-08,3.703073076077033e-06,True,8.571402099907232
KPNA2,-1.4857593039424688,5.973118453107466e-08,3.7095630736691334e-06,True,4.105201126805861
PARM1,1.270889897645351,6.352268276232284e-08,3.9329670801406366e-06,True,2.583635879781725
OAS3,-1.1417365735896565,7.018001860455665e-08,4.318737558260955e-06,True,4.881650106539075
GARS,-1.000094495006162,7.00639239367967e-08,4.318737558260955e-06,True,4.511643273593183
GSTM5,1.7061789446443063,7.429805441814538e-08,4.558298211362943e-06,True,1.734428833411273
CHRDL1,1.8730370063490698,7.577060751506935e-08,4.6345973406347256e-06,True,3.0268625884196925
EN1,-2.770412757571559,8.231926786506027e-08,5.019987642156657e-06,True,2.7761658439559933
SEMA3D,1.1715200296743455,8.44310836903435e-08,5.122308134992432e-06,True,1.761113796714233
HIST1H2AD,-2.232807391084136,8.475616048713153e-08,5.122308134992432e-06,True,5.319479235256462
SLC5A3,2.357392132257849,8.4727299987714e-08,5.122308134992432e-06,True,5.625104719453192
TYMS,-1.875318299259042,8.531657307319689e-08,5.134320314044327e-06,True,3.6790799786564445
IRAK1,-1.7576748328745033,8.547398838230661e-08,5.134320314044327e-06,True,5.537569157925715
ZNF668,1.8109643394953263,8.571571007344574e-08,5.134320314044327e-06,True,6.949276333602185
HIST1H4A,-2.270153534128414,8.780933950235191e-08,5.244212057712734e-06,True,4.170404904595587
MEIS1,1.4571610469363359,8.820858195197008e-08,5.252561618234077e-06,True,3.64369104316343
STEAP3,-1.6798285919148497,9.056811174682677e-08,5.377249238786671e-06,True,4.057611917041945
CASQ2,1.4537477393394678,9.133739962764772e-08,5.4013796491443935e-06,True,1.1592736880177639
IL33,1.4143094530413116,9.150811121488328e-08,5.4013796491443935e-06,True,1.7973542217128533
CORO2B,1.1142313736189828,9.363430309768396e-08,5.510814245685202e-06,True,1.6885338900375257
CDCA5,-1.924183475503525,9.424491773681963e-08,5.530674215941015e-06,True,2.8456330509118812
F10,1.384403199361527,9.583020639734835e-08,5.607451903817095e-06,True,1.936473896335711
LSR,-2.1869693443461005,9.827392321534286e-08,5.733872764892887e-06,True,5.617393333432683
SORBS1,1.762166000095402,1.0158775757619266e-07,5.9101889077229785e-06,True,4.683790917560246
DIRAS3,1.1371853764127833,1.0197182194167126e-07,5.915534404100505e-06,True,1.3483757695948944
H2AFZ,-1.5335024884329487,1.051377954522987e-07,6.0476150275040624e-06,True,4.923390987259664
TRIM11,-1.0199057095649637,1.0545162810822006e-07,6.0476150275040624e-06,True,4.526284386975566
CLPSL1,-2.241363843453991,1.054568355588968e-07,6.0476150275040624e-06,True,1.7484269369431484
